hab_lbl,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Mag from Planet,S. Size from Planet (deg),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable
0,2,4,3,2,18.2179136691,2.65,1.39,0.99,1.38,1.38,339.7956,339.7957,339.7957,1093.8,1093.8,1093.8,1132,1132,1132,2.6,-24.25,2.64,7.47,0.079,0,0.08,86.8916666667,0,1.03,1.31,6092,2.120665,-0.1280114286,4.1862139785,13.7474471831,-33.1,8.8457,1.072,2.507,-2.38,-0.16,-0.92,0.28,0.29,0
0,2,4,3,3,18.2179136691,1.59,1.2,0.93,1.11,1.15,199.893,199.893,199.893,958,958,958,993.6,993.6,993.6,1.5,-23.35,2.28,11.13,0.103,0,0.1,86.8916666667,0,1.03,1.31,6092,2.120665,-0.1280114286,4.1862139785,13.7474471831,-32.5,6.7818,1.072,2.507,-2.35,-0.17,-1.01,0.28,0.3,0
0,2,4,3,2,18.2179136691,3.31,1.48,1.02,1.52,1.5,121.7094,121.7094,121.7094,846.2,846.2,846.2,885.4,885.4,885.4,3.4,-23.26,2.81,16.26,0.132,0,0.13,86.8916666667,0,1.03,1.31,6092,2.120665,-0.1280114286,4.1862139785,13.7474471831,-32,5.2907,1.072,2.507,-2.31,-0.16,-0.73,0.29,0.29,0
0,2,2,3,2,18.2179136691,17.18,2.26,1.48,3.36,2.76,49.20144,49.20144,49.20145,674.7,674.7,674.7,722.6,722.6,722.6,25.5,-23.21,4.3,16.09,0.122,0,0.12,86.8916666667,0,0.94,0.94,5513,0.732314,0.008,4.1862139785,13.7474471831,-31,4.107,0.652,1.549,-2.18,-0.12,0.32,0.31,0.27,0
0,2,4,3,2,18.2179136691,1.86,1.25,0.94,1.18,1.22,180.3568,180.3568,180.3568,933.6,933.6,933.6,970.1,970.1,970.1,1.8,-23.34,2.38,4.14,0.048,0,0.05,86.8916666667,0,0.97,0.82,5123,0.415542,0.106,4.1862139785,13.7474471831,-32.4,9.1136,0.502,1.208,-2.29,-0.16,-0.96,0.29,0.3,0
0,2,4,3,2,18.2179136691,2.04,1.29,0.96,1.23,1.26,108.1015,108.1015,108.1015,821.5,821.5,821.5,858.3,858.3,858.3,1.9,-22.83,2.45,6.04,0.062,0,0.06,86.8916666667,0,0.97,0.82,5123,0.415542,0.106,4.1862139785,13.7474471831,-31.8,7.0527,0.502,1.208,-2.25,-0.16,-0.88,0.29,0.3,0
0,2,4,3,3,18.2179136691,1.14,1.09,0.89,0.97,1.03,126.7972,126.7972,126.7972,854.9,854.9,854.9,889,889,889,1,-22.64,2.06,16.26,0.133,0,0.13,86.8916666667,0,1.16,1.46,5852,2.242915,-0.1280114286,4.1862139785,13.7474471831,-32,5.8526,1.119,2.631,-2.3,-0.17,-1.05,0.28,0.3,0
0,2,2,3,2,18.2179136691,4.65,1.62,1.09,1.76,1.69,1049.367,1049.367,1049.367,1450,1450,1450,1491,1491,1491,5.1,-25.82,3.09,2.46,0.036,0,0.04,86.8916666667,0,0.94,1.2,5696,1.359979,-0.051,4.1862139785,13.7474471831,-34.3,17.8358,0.879,2.077,-2.41,-0.15,-0.87,0.28,0.27,0
0,2,2,3,2,18.2179136691,19.94,2.34,1.55,3.64,2.92,418.5839,418.5839,418.584,1152.4,1152.4,1152.4,1201.1,1201.1,1201.1,31,-25.62,4.45,4.82,0.057,0,0.06,86.8916666667,0,0.94,1.2,5696,1.359979,-0.051,4.1862139785,13.7474471831,-33.3,11.2373,0.879,2.077,-2.37,-0.12,-0.07,0.3,0.24,0
0,2,2,3,2,18.2179136691,13.26,2.13,1.38,2.93,2.5,62.92352,62.92352,62.92352,717.5,717.5,717.5,764,764,764,18.2,-23.34,4.04,28.78,0.194,0,0.19,86.8916666667,0,1.18,1.35,6169,2.368189,-0.359,4.1862139785,13.7474471831,-31.2,3.7091,1.128,2.633,-2.24,-0.13,0.07,0.31,0.27,0
0,2,2,3,2,18.2179136691,4.65,1.62,1.09,1.76,1.69,146.3358,146.3358,146.3358,886.1,886.1,886.1,927,927,927,5.1,-23.67,3.09,9.36,0.084,0,0.08,86.8916666667,0,0.77,1.03,5739,1.032545,-0.618,4.1862139785,13.7474471831,-32.2,6.5381,0.764,1.803,-2.31,-0.15,-0.63,0.29,0.28,0
0,2,2,3,2,18.2179136691,6.4,1.77,1.16,2.05,1.9,80.86345,80.86345,80.86346,764,764,764,806.5,806.5,806.5,7.4,-23.21,3.36,14.67,0.113,0,0.11,86.8916666667,0,0.77,1.03,5739,1.032545,-0.618,4.1862139785,13.7474471831,-31.5,4.859,0.764,1.803,-2.25,-0.14,-0.4,0.3,0.28,0
0,2,2,3,2,18.2179136691,21.7,2.39,1.6,3.81,3.02,30.16933,30.16933,30.16934,597.1,597.1,597.1,646.3,646.3,646.3,34.7,-22.79,4.53,30.86,0.185,0,0.18,86.8916666667,0,0.77,1.03,5739,1.032545,-0.618,4.1862139785,13.7474471831,-30.4,2.9674,0.764,1.803,-2.12,-0.12,0.66,0.31,0.28,0
0,2,2,3,2,18.2179136691,6.1,1.75,1.14,2,1.87,10.47249,10.47249,10.47249,458.3,458.3,458.3,500.6,500.6,500.6,7,-20.95,3.32,68.16,0.314,0,0.31,86.8916666667,0,0.77,1.03,5739,1.032545,-0.618,4.1862139785,13.7474471831,-29.3,1.7482,0.764,1.803,-1.87,-0.14,-0.04,0.35,0.39,0
0,2,2,3,2,18.2179136691,20.36,2.35,1.57,3.68,2.94,314.1456,314.1457,314.1457,1072.6,1072.6,1072.6,1121.4,1121.4,1121.4,31.9,-25.31,4.47,7.69,0.079,0,0.08,86.8916666667,0,1.11,1.26,6091,1.960583,-0.183,4.1862139785,13.7474471831,-33,8.5075,1.031,2.411,-2.38,-0.12,0.01,0.3,0.24,0
0,2,2,3,2,18.2179136691,16.11,2.23,1.45,3.24,2.69,997.7697,997.7698,997.7699,1431.9,1431.9,1431.9,1479.4,1479.4,1479.4,23.4,-26.46,4.24,5.37,0.065,0,0.07,86.8916666667,0,1.27,1.8,6171,4.215578,-0.1280114286,4.1862139785,13.7474471831,-34.3,14.7988,1.504,3.512,-2.43,-0.12,-0.36,0.29,0.24,0
0,2,2,3,2,18.2179136691,7.56,1.85,1.2,2.21,2.02,532.2026,532.2027,532.2028,1223.7,1223.7,1223.7,1267.1,1267.1,1267.1,9,-25.36,3.51,8.59,0.089,0,0.09,86.8916666667,0,1.28,1.8,6171,4.215578,-0.1280114286,4.1862139785,13.7474471831,-33.6,10.794,1.504,3.512,-2.41,-0.14,-0.61,0.29,0.26,0
0,0,4,3,0,18.2179136691,2.23,1.32,0.97,1.28,1.3,932.1921178471,936.3143069742,943.1535689337,858.6035066505,861.9361547763,867.4600362757,899.7738814994,903.1065296252,908.6305320435,2.2,-23.0491172914,2.51,3.89,0.1136826481,0,0.1130108827,86.8916666667,0,0.891070133,1.8,6171,4.215578,-0.1280114286,4.1862139785,13.3,-31.5828899637,8.0273480559,1.504,3.512,-1.9565840387,-0.16,-0.3471644498,0.3035912938,0.3134038694,0
0,2,4,3,2,18.2179136691,3.31,1.48,1.02,1.52,1.5,436.5844,436.5845,436.5845,1164.6,1164.6,1164.6,1203.8,1203.8,1203.8,3.4,-24.66,2.81,3.62,0.046,0,0.05,86.8916666667,0,0.99,1.06,5502,0.923813,0.194,4.1862139785,13.7474471831,-33.4,12.3039,0.733,1.741,-2.36,-0.16,-0.88,0.28,0.28,0
0,2,6,3,3,18.2179136691,0.43,0.81,0.82,0.66,0.73,87.61893,87.61895,87.61897,779.5,779.5,779.5,809,809,809,0.4,-21.58,1.53,4.16,0.046,0,0.05,86.8916666667,0,0.75,0.67,4632,0.185402,-0.1280114286,4.1862139785,13.7474471831,-31.6,7.768,0.343,0.842,-2.19,-0.18,-1.22,0.28,0.3,0
0,2,2,3,2,18.2179136691,4.09,1.57,1.06,1.66,1.62,32.09863,32.09863,32.09863,606.4,606.4,606.4,646.7,646.7,646.7,4.3,-21.94,2.98,9.03,0.076,0,0.08,86.8916666667,0,0.72,0.67,4632,0.185402,-0.1280114286,4.1862139785,13.7474471831,-30.5,4.6994,0.343,0.842,-2.07,-0.15,-0.46,0.32,0.32,0
0,2,4,3,2,18.2179136691,0.8,0.97,0.86,0.84,0.9,6.978119,6.97812,6.978122,414.1,414.1,414.1,446.5,446.5,446.5,0.7,-19.24,1.85,28.12,0.163,0,0.16,86.8916666667,0,0.73,0.67,4632,0.185402,-0.1280114286,4.1862139785,13.7474471831,-28.8,2.1906,0.343,0.842,-1.72,-0.17,-0.87,0.34,0.47,0
0,2,4,3,2,18.2179136691,2.3,1.33,0.97,1.29,1.31,3.629917,3.629918,3.629918,351.7,351.7,351.7,389.1,389.1,389.1,2.2,-19.21,2.53,45.9,0.226,0,0.23,86.8916666667,0,0.73,0.67,4632,0.185402,-0.1280114286,4.1862139785,13.7474471831,-28.1,1.5799,0.343,0.842,-1.47,-0.16,-0.38,0.4,0.59,0
0,2,2,3,2,18.2179136691,5.68,1.71,1.13,1.93,1.82,332.9917,332.9918,332.9919,1088.3,1088.3,1088.3,1130.3,1130.3,1130.3,6.4,-24.69,3.26,2.8,0.037,0,0.04,86.8916666667,0,0.72,0.82,5243,0.455866,-0.413,4.1862139785,13.7474471831,-33.1,11.8316,0.522,1.251,-2.33,-0.15,-0.66,0.29,0.27,0
0,2,2,3,2,18.2179136691,5.4,1.69,1.12,1.89,1.79,202.2184,202.2184,202.2184,960.7,960.7,960.7,1002.4,1002.4,1002.4,6,-24.11,3.21,7.38,0.073,0,0.07,86.8916666667,0,0.95,1.02,5829,1.077622,-0.211,4.1862139785,13.7474471831,-32.5,7.4515,0.777,1.827,-2.34,-0.15,-0.61,0.29,0.28,0
0,2,2,3,2,18.2179136691,10.17,1.99,1.28,2.56,2.26,139.1557,139.1557,139.1558,875,875,875,920,920,920,13.1,-24.06,3.79,9.85,0.088,0,0.09,86.8916666667,0,0.94,1.02,5829,1.077622,-0.211,4.1862139785,13.7474471831,-32.1,6.18,0.777,1.827,-2.31,-0.13,-0.25,0.3,0.26,0
0,2,2,3,2,18.2179136691,22.16,2.4,1.61,3.86,3.04,54.98071,54.98071,54.98072,693.7,693.7,693.7,743,743,743,35.7,-23.45,4.56,19.72,0.14,0,0.14,86.8916666667,0,0.94,1.02,5829,1.077622,-0.211,4.1862139785,13.7474471831,-31.1,3.8834,0.777,1.827,-2.21,-0.12,0.5,0.31,0.26,0
0,2,4,3,2,18.2179136691,2.65,1.39,0.99,1.38,1.38,182.1642,182.1642,182.1643,936,936,936,974.1,974.1,974.1,2.6,-23.57,2.64,3.13,0.038,0,0.04,86.8916666667,0,0.74,0.68,5018,0.263045,-0.309,4.1862139785,13.7474471831,-32.4,9.5474,0.401,0.97,-2.28,-0.16,-0.86,0.29,0.29,0
0,2,2,3,2,18.2179136691,18.31,2.3,1.51,3.47,2.82,33.20858,33.20858,33.20859,611.6,611.6,611.6,659.8,659.8,659.8,27.7,-22.81,4.36,11.35,0.089,0,0.09,86.8916666667,0,0.74,0.68,5018,0.263045,-0.309,4.1862139785,13.7474471831,-30.6,4.0726,0.401,0.97,-2.1,-0.12,0.48,0.32,0.28,0
0,2,2,3,2,18.2179136691,9.72,1.97,1.27,2.5,2.22,17.10752,17.10752,17.10752,518.1,518.1,518.1,562.9,562.9,562.9,12.3,-21.75,3.75,18.64,0.124,0,0.12,86.8916666667,0,0.74,0.68,5018,0.263045,-0.309,4.1862139785,13.7474471831,-29.8,2.9228,0.401,0.97,-1.98,-0.14,0.16,0.33,0.33,0
0,2,4,3,2,18.2179136691,1.59,1.2,0.93,1.11,1.15,12.11522,12.11522,12.11522,475.3,475.3,475.3,511,511,511,1.5,-20.29,2.28,6.74,0.056,0,0.06,86.8916666667,0,0.52,0.48,3682,0.037993,-0.185,4.1862139785,13.7474471831,-29.5,4.5691,0.159,0.409,-1.82,-0.17,-0.71,0.34,0.4,0
0,2,2,3,2,18.2179136691,7.38,1.84,1.19,2.19,2,3.083624,3.083624,3.083625,337.6,337.6,337.6,380.9,380.9,380.9,8.8,-19.73,3.49,18.79,0.111,0,0.11,86.8916666667,0,0.52,0.48,3682,0.037993,-0.185,4.1862139785,13.7474471831,-28,2.3047,0.159,0.409,-1.38,-0.14,0.38,0.41,0.58,0
0,2,4,3,2,18.2179136691,3.88,1.55,1.05,1.63,1.59,250.384,250.3841,250.3841,1013.4,1013.4,1013.4,1053.5,1053.5,1053.5,4.1,-24.15,2.94,3.94,0.047,0,0.05,86.8916666667,0,0.86,0.8,5571,0.553098,-0.145,4.1862139785,13.7474471831,-32.8,9.0804,0.565,1.339,-2.34,-0.15,-0.77,0.29,0.28,0
0,2,2,3,2,18.2179136691,17.55,2.27,1.49,3.39,2.78,164.4169,164.4169,164.4169,912.3,912.3,912.3,960.3,960.3,960.3,26.2,-24.53,4.32,5.35,0.058,0,0.06,86.8916666667,0,0.86,0.8,5571,0.553098,-0.145,4.1862139785,13.7474471831,-32.3,7.3556,0.565,1.339,-2.31,-0.12,0.05,0.3,0.25,0
0,2,4,3,2,18.2179136691,1.7,1.22,0.93,1.14,1.18,95.75803,95.75804,95.75805,797,797,797,832.9,832.9,832.9,1.6,-22.59,2.32,8.11,0.076,0,0.08,86.8916666667,0,0.86,0.8,5571,0.553098,-0.145,4.1862139785,13.7474471831,-31.7,5.6119,0.565,1.339,-2.26,-0.17,-0.92,0.29,0.3,0
0,2,4,3,2,18.2179136691,3.69,1.52,1.04,1.59,1.56,845.2316,845.2317,845.2318,1373.7,1373.7,1373.7,1413.5,1413.5,1413.5,3.8,-25.44,2.89,2.57,0.038,0,0.04,86.8916666667,0,1.11,1.01,6043,1.220515,-0.067,4.1862139785,13.7474471831,-34.1,14.2007,0.816,1.91,-2.42,-0.15,-0.92,0.28,0.28,0
0,2,2,3,2,18.2179136691,15.1,2.2,1.43,3.13,2.62,85.47361,85.47361,85.47363,774.6,774.6,774.6,821.8,821.8,821.8,21.6,-23.74,4.17,6.25,0.062,0,0.06,86.8916666667,0,0.81,0.73,5120,0.328561,-0.109,4.1862139785,13.7474471831,-31.6,6.2778,0.446,1.074,-2.22,-0.13,0.09,0.31,0.26,0
0,2,2,3,2,18.2179136691,11.12,2.04,1.31,2.68,2.34,4.073577,4.073577,4.073577,361.9,361.9,361.9,407.4,407.4,407.4,14.6,-20.26,3.87,91.77,0.38,0,0.38,86.8916666667,0,0.87,0.82,5588,0.588225,-0.291,4.1862139785,13.7474471831,-28.3,1.15,0.582,1.379,-1.51,-0.13,0.64,0.38,0.51,0
0,2,2,3,2,18.2179136691,5.82,1.72,1.13,1.95,1.84,7.921383,7.921385,7.921387,427.4,427.4,427.4,469.5,469.5,469.5,6.6,-20.62,3.28,10.07,0.074,0,0.07,86.8916666667,0,0.58,0.49,3767,0.043378,-0.011,4.1862139785,13.7474471831,-29,3.5293,0.17,0.435,-1.72,-0.15,-0.01,0.37,0.42,0
0,2,2,3,2,18.2179136691,8.88,1.93,1.24,2.39,2.15,3.337758,3.337758,3.337759,344.4,344.4,344.4,388.6,388.6,388.6,11,-19.92,3.66,19.27,0.114,0,0.11,86.8916666667,0,0.58,0.49,3767,0.043378,-0.011,4.1862139785,13.7474471831,-28,2.2908,0.17,0.435,-1.42,-0.14,0.51,0.4,0.56,0
0,2,2,3,2,18.2179136691,23.62,2.43,1.65,4,3.12,72.14309,72.1431,72.14311,742.5,742.5,742.5,792.2,792.2,792.2,38.9,-23.78,4.62,8.47,0.077,0,0.08,86.8916666667,0,0.85,0.76,5360,0.427736,-0.067,4.1862139785,13.7474471831,-31.4,5.2618,0.503,1.2,-2.22,-0.11,0.48,0.31,0.25,0
0,2,2,3,2,18.2179136691,16.11,2.23,1.45,3.24,2.69,64.98451,64.98453,64.98454,723.3,723.3,723.3,770.8,770.8,770.8,23.4,-23.48,4.24,3.34,0.037,0,0.04,86.8916666667,0,0.59,0.55,4255,0.088964,0.087,4.1862139785,13.7474471831,-31.3,7.928,0.24,0.601,-2.13,-0.12,0.2,0.32,0.26,0
0,2,4,3,2,18.2179136691,1.98,1.28,0.95,1.21,1.25,21.05652,21.05652,21.05653,545.7,545.7,545.7,582.5,582.5,582.5,1.9,-21.03,2.43,7.82,0.065,0,0.07,86.8916666667,0,0.59,0.55,4255,0.088964,0.087,4.1862139785,13.7474471831,-30.1,4.5105,0.24,0.601,-1.97,-0.16,-0.7,0.32,0.35,0
0,2,2,3,2,18.2179136691,11.37,2.05,1.32,2.71,2.36,5.977144,5.977144,5.977145,398.4,398.4,398.4,443.9,443.9,443.9,15,-20.69,3.9,20.06,0.122,0,0.12,86.8916666667,0,0.59,0.55,4255,0.088964,0.087,4.1862139785,13.7474471831,-28.7,2.4027,0.24,0.601,-1.66,-0.13,0.55,0.36,0.44,0
0,2,2,3,1,18.2179136691,15.76,2.22,1.45,3.21,2.67,1.960894,1.960894,1.960895,301.5,301.5,301.5,348.9,348.9,348.9,22.8,-19.65,4.22,46.18,0.213,0,0.21,86.8916666667,0,0.59,0.55,4255,0.088964,0.087,4.1862139785,13.7474471831,-27.5,1.3761,0.24,0.601,-1.15,-0.12,1.24,0.37,0.65,0
0,2,2,3,2,18.2179136691,4.09,1.57,1.06,1.66,1.62,10.92266,10.92266,10.92267,463.2,463.2,463.2,503.4,503.4,503.4,4.3,-20.76,2.98,8.3,0.065,0,0.07,86.8916666667,0,0.56,0.51,3750,0.046148,0.119,4.1862139785,13.7474471831,-29.3,4.1823,0.175,0.449,-1.8,-0.15,-0.28,0.35,0.39,0
0,2,2,3,2,18.2179136691,10.17,1.99,1.28,2.56,2.26,2.648545,2.648546,2.648546,325,325,325,370,370,370,13.1,-19.74,3.79,23.97,0.132,0,0.13,86.8916666667,0,0.56,0.51,3750,0.046148,0.119,4.1862139785,13.7474471831,-27.8,2.0591,0.175,0.449,-1.31,-0.13,0.69,0.4,0.6,0
0,2,4,3,2,18.2179136691,2.81,1.41,1,1.41,1.41,103.8765,103.8765,103.8765,813.3,813.3,813.3,851.8,851.8,851.8,2.8,-22.99,2.68,4.72,0.05,0,0.05,86.8916666667,0,0.7,0.72,4861,0.259691,-0.077,4.1862139785,13.7474471831,-31.8,7.6797,0.402,0.977,-2.22,-0.16,-0.77,0.3,0.3,0
0,2,2,3,2,18.2179136691,12.15,2.08,1.34,2.8,2.41,51.51582,51.51582,51.51583,682.5,682.5,682.5,728.5,728.5,728.5,16.3,-23.08,3.96,8.1,0.071,0,0.07,86.8916666667,0,0.7,0.72,4861,0.259691,-0.077,4.1862139785,13.7474471831,-31,5.4062,0.402,0.977,-2.15,-0.13,0.06,0.32,0.28,0
0,2,2,3,2,18.2179136691,5.82,1.72,1.13,1.95,1.84,624.4628,624.4629,624.463,1273.6,1273.6,1273.6,1315.6,1315.6,1315.6,6.6,-25.39,3.28,2.09,0.034,0,0.03,86.8916666667,0,1.43,0.9,5614,0.721879,0.143,4.1862139785,13.7474471831,-33.8,14.1425,0.644,1.524,-2.39,-0.15,-0.73,0.29,0.27,0
0,2,2,3,2,18.2179136691,21.7,2.39,1.6,3.81,3.02,151.6234,151.6234,151.6234,894,894,894,943.2,943.2,943.2,34.7,-24.55,4.53,6.16,0.069,0,0.07,86.8916666667,0,1.43,0.9,5614,0.721879,0.143,4.1862139785,13.7474471831,-32.2,6.9553,0.644,1.524,-2.31,-0.12,0.22,0.3,0.24,0
0,2,2,3,1,17.79,17.8,2,2.21,4.43,2.98,7.969678,7.969678,7.969679,428.1,428.1,428.1,477.8,477.8,477.8,39.3,-20.96,3.81,50.45,0.301,0,0.3,86.8916666667,0,1.43,0.9,5614,0.721879,0.143,4.1862139785,13.7474471831,-29,1.5937,0.644,1.524,-1.78,-0.54,1.06,0.32,0.4,0
0,2,2,3,2,18.2179136691,19.52,2.33,1.54,3.6,2.89,33.48192,33.48192,33.48192,612.8,612.8,612.8,661.4,661.4,661.4,30.1,-22.85,4.43,11.76,0.095,0,0.1,86.8916666667,0,0.74,0.76,4914,0.302174,-0.016,4.1862139785,13.7474471831,-30.6,4.2643,0.432,1.049,-2.09,-0.12,0.53,0.32,0.28,0
0,2,4,3,2,18.2179136691,2.51,1.37,0.98,1.34,1.35,131.6835,131.6835,131.6836,863,863,863,900.9,900.9,900.9,2.5,-23.18,2.6,4.14,0.048,0,0.05,86.8916666667,0,0.86,0.74,4985,0.303399,0.089,4.1862139785,13.7474471831,-32.1,8.2228,0.432,1.044,-2.25,-0.16,-0.84,0.29,0.29,0
0,2,2,3,2,18.2179136691,15.1,2.2,1.43,3.13,2.62,55.40519,55.4052,55.40521,695.1,695.1,695.1,742.2,742.2,742.2,21.6,-23.27,4.17,7.95,0.074,0,0.07,86.8916666667,0,0.86,0.74,4985,0.303399,0.089,4.1862139785,13.7474471831,-31.1,5.3311,0.432,1.044,-2.17,-0.13,0.19,0.31,0.27,0
0,2,2,3,2,18.2179136691,19.52,2.33,1.54,3.6,2.89,22.22314,22.22314,22.22315,553.2,553.2,553.2,601.7,601.7,601.7,30.1,-22.4,4.43,12.72,0.094,0,0.09,86.8916666667,0,0.69,0.67,4699,0.196364,-0.243,4.1862139785,13.7474471831,-30.1,3.7991,0.352,0.861,-2.01,-0.12,0.65,0.32,0.29,0
0,2,2,3,2,18.2179136691,10.17,1.99,1.28,2.56,2.26,34.64891,34.64891,34.64892,618.1,618.1,618.1,663.1,663.1,663.1,13.1,-22.55,3.79,14.5,0.109,0,0.11,86.8916666667,0,0.82,0.85,5020,0.411664,0.103,4.1862139785,13.7474471831,-30.6,4.1567,0.502,1.213,-2.11,-0.13,0.03,0.32,0.29,0
0,2,2,3,2,18.2179136691,24.64,2.45,1.67,4.09,3.17,123.029,123.029,123.029,848.5,848.5,848.5,898.4,898.4,898.4,41.1,-24.38,4.66,5.72,0.062,0,0.06,86.8916666667,0,0.89,0.84,5228,0.472923,0.241,4.1862139785,13.7474471831,-32,7.2249,0.533,1.276,-2.27,-0.11,0.37,0.3,0.24,0
0,2,2,3,2,18.2179136691,10.17,1.99,1.28,2.56,2.26,23.45384,23.45385,23.45385,560.7,560.7,560.7,605.7,605.7,605.7,13.1,-22.12,3.79,20.03,0.142,0,0.14,86.8916666667,0,0.89,0.84,5228,0.472923,0.241,4.1862139785,13.7474471831,-30.2,3.1529,0.533,1.276,-2.05,-0.13,0.11,0.33,0.31,0
0,2,2,3,2,18.2179136691,11.37,2.05,1.32,2.71,2.36,72.18629,72.1863,72.18631,742.6,742.6,742.6,788.2,788.2,788.2,15,-23.41,3.9,9.77,0.087,0,0.09,86.8916666667,0,0.92,0.8,5554,0.546378,-0.191,4.1862139785,13.7474471831,-31.4,4.9019,0.562,1.333,-2.23,-0.13,-0.06,0.31,0.27,0
0,2,2,3,2,18.2179136691,18.71,2.31,1.52,3.51,2.85,27.87643,27.87643,27.87644,585.4,585.4,585.4,633.7,633.7,633.7,28.5,-22.63,4.39,20.05,0.14,0,0.14,86.8916666667,0,0.91,0.8,5554,0.546378,-0.191,4.1862139785,13.7474471831,-30.4,3.0456,0.562,1.333,-2.1,-0.12,0.55,0.32,0.28,0
0,2,2,3,2,18.2179136691,14.46,2.17,1.41,3.06,2.58,25.26429,25.26429,25.2643,571.2,571.2,571.2,618.1,618.1,618.1,20.4,-22.39,4.13,17.46,0.124,0,0.12,86.8916666667,0,0.8,0.8,5100,0.388464,-0.028,4.1862139785,13.7474471831,-30.3,3.4387,0.486,1.17,-2.06,-0.13,0.36,0.32,0.3,0
0,2,2,3,2,18.2179136691,6.1,1.75,1.14,2,1.87,247.6447,247.6447,247.6448,1010.7,1010.7,1010.7,1053,1053,1053,7,-24.4,3.32,3.22,0.0396,0,0.04,86.8916666667,0,0.8,0.8,5100,0.388464,-0.1280114286,4.1862139785,15.6,-32.7,10.7802,0.486,1.17,-2.3,-0.14,-0.59,0.3,0.27,0
0,2,2,3,2,18.2179136691,19.94,2.34,1.55,3.64,2.92,167.902,167.902,167.9021,917.1,917.1,917.1,965.8,965.8,965.8,31,-24.62,4.45,4.6,0.052,0,0.05,86.8916666667,0,0.86,0.83,5206,0.454007,0.143,4.1862139785,13.7474471831,-32.3,8.514,0.522,1.253,-2.29,-0.12,0.13,0.3,0.25,0
0,2,4,3,2,18.2179136691,3.49,1.5,1.03,1.55,1.53,50.30549,50.30549,50.3055,678.5,678.5,678.5,718,718,718,3.6,-22.33,2.85,11.19,0.095,0,0.1,86.8916666667,0,0.86,0.83,5206,0.454007,0.143,4.1862139785,13.7474471831,-31,4.6573,0.522,1.253,-2.17,-0.15,-0.6,0.31,0.31,0
0,2,2,3,2,18.2179136691,4.77,1.64,1.09,1.78,1.71,214.2791,214.2792,214.2792,974.7,974.7,974.7,1015.8,1015.8,1015.8,5.2,-24.1,3.11,3.34,0.042,0,0.04,86.8916666667,0,0.88,0.79,5094,0.377988,0.21,4.1862139785,13.7474471831,-32.6,10.0495,0.479,1.155,-2.3,-0.15,-0.67,0.29,0.28,0
0,2,4,3,2,18.2179136691,1.14,1.09,0.89,0.97,1.03,27.34864,27.34864,27.34864,582.6,582.6,582.6,616.7,616.7,616.7,1,-20.96,2.06,3.31,0.035,0,0.04,86.8916666667,0,0.52,0.48,3568,0.033502,0.221,4.1862139785,13.7474471831,-30.3,7.3135,0.15,0.387,-1.97,-0.17,-0.91,0.32,0.34,0
0,2,4,3,2,18.2179136691,3.59,1.51,1.04,1.57,1.54,9.958999,9.959002,9.959003,452.6,452.6,452.6,492.2,492.2,492.2,3.7,-20.58,2.87,7.11,0.058,0,0.06,86.8916666667,0,0.51,0.48,3568,0.033502,0.221,4.1862139785,13.7474471831,-29.2,4.4114,0.15,0.387,-1.77,-0.15,-0.33,0.36,0.4,0
0,2,2,3,2,18.2179136691,4.09,1.57,1.06,1.66,1.62,3.560642,3.560642,3.560642,350,350,350,390.3,390.3,390.3,4.3,-19.54,2.98,15.37,0.097,0,0.1,86.8916666667,0,0.52,0.48,3568,0.033502,0.221,4.1862139785,13.7474471831,-28.1,2.6373,0.15,0.387,-1.44,-0.15,-0.06,0.41,0.57,0
0,2,4,3,3,18.2179136691,1.31,1.13,0.91,1.02,1.08,181.1241,181.1241,181.1241,934.6,934.6,934.6,969.4,969.4,969.4,1.2,-23.11,2.15,4.15,0.048,0,0.05,86.8916666667,0,0.8,0.81,5160,0.41731,0.063,4.1862139785,13.7474471831,-32.4,9.0022,0.502,1.206,-2.29,-0.17,-1.05,0.28,0.3,0
0,2,2,3,2,18.2179136691,17.55,2.27,1.49,3.39,2.78,87.65172,87.65173,87.65176,779.5,779.5,779.5,827.5,827.5,827.5,26.2,-23.85,4.32,7.16,0.069,0,0.07,86.8916666667,0,0.8,0.81,5160,0.41731,0.063,4.1862139785,13.7474471831,-31.6,6.2591,0.502,1.206,-2.23,-0.12,0.19,0.31,0.26,0
